6T4-3.3_3.3_2.2.1.1-a|[[[3, 4, 5, 6, 1, 2], [2, 6, 4, 5, 3, 1], [4, 2, 6, 1, 5, 3]]]
6T4-3.3_3.3_3.3-a|[[[3, 4, 5, 6, 1, 2], [6, 4, 2, 3, 1, 5], [6, 1, 5, 3, 4, 2]]]
6T5-6_2.2.2_3.1.1.1-a|[[[4, 3, 6, 5, 2, 1], [4, 5, 6, 1, 2, 3], [3, 2, 5, 4, 1, 6]]]
6T5-6_6_3.1.1.1-a|[[[6, 5, 2, 1, 4, 3], [2, 3, 4, 5, 6, 1], [3, 2, 5, 4, 1, 6]]]
6T5-6_6_3.3-a|[[[6, 5, 2, 1, 4, 3], [6, 1, 2, 3, 4, 5], [5, 4, 1, 6, 3, 2]]]
6T6-6_3.3_2.1.1.1.1-a|[[[6, 4, 5, 3, 1, 2], [2, 6, 4, 5, 3, 1], [4, 2, 3, 1, 5, 6]]]
6T6-6_6_2.2.1.1-a|[[[6, 4, 5, 3, 1, 2], [2, 3, 4, 5, 6, 1], [4, 5, 3, 1, 2, 6]]]
6T6-6_6_3.3-a|[[[6, 4, 5, 3, 1, 2], [3, 1, 5, 6, 4, 2], [3, 4, 5, 6, 1, 2]]]
6T7-4.2_3.3_2.2.1.1-a|[[[3, 5, 4, 6, 2, 1], [2, 3, 1, 5, 6, 4], [5, 4, 3, 2, 1, 6]]]
6T7-4.2_4.2_3.3-a|[[[5, 1, 6, 2, 4, 3], [3, 5, 4, 6, 2, 1], [5, 3, 4, 2, 6, 1]]]
6T8-4.1.1_3.3_2.2.2-a|[[[3, 2, 4, 6, 5, 1], [5, 3, 4, 2, 6, 1], [5, 4, 6, 2, 1, 3]]]
6T8-4.1.1_4.1.1_3.3-a|[[[5, 1, 3, 2, 4, 6], [3, 2, 4, 6, 5, 1], [2, 3, 1, 5, 6, 4]]]
6T9-6_6_2.2.1.1-a|[[[6, 5, 2, 1, 4, 3], [2, 5, 6, 3, 4, 1], [5, 4, 3, 2, 1, 6]]]
6T10-4.2_4.2_2.2.1.1-a|[[[4, 1, 6, 5, 2, 3], [6, 1, 2, 5, 4, 3], [3, 4, 1, 2, 5, 6]], [[4, 1, 6, 5, 2, 3], [2, 5, 4, 3, 6, 1], [1, 2, 5, 6, 3, 4]]]
6T10-4.2_4.2_3.1.1.1-a|[[[4, 1, 6, 5, 2, 3], [2, 3, 6, 5, 4, 1], [1, 4, 3, 6, 5, 2]]]
6T10-4.2_4.2_3.3-a|[[[4, 1, 6, 5, 2, 3], [4, 1, 2, 3, 6, 5], [3, 6, 5, 2, 1, 4]]]
6T11-6_2.2.1.1_4.1.1-a|[[[5, 6, 4, 2, 3, 1], [5, 4, 3, 2, 1, 6], [6, 2, 1, 3, 5, 4]]]
6T11-6_4.1.1_4.2-a|[[[6, 1, 2, 3, 4, 5], [6, 2, 1, 3, 5, 4], [2, 4, 6, 5, 1, 3]]]
6T11-6_4.2_2.2.2-a|[[[3, 4, 2, 6, 1, 5], [2, 4, 6, 5, 1, 3], [4, 6, 5, 1, 3, 2]]]
6T12-5.1_2.2.1.1_3.3-a|[[[2, 3, 4, 6, 5, 1], [4, 2, 3, 1, 6, 5], [5, 4, 2, 3, 6, 1]]]
6T12-5.1_5.1_2.2.1.1-a|[[[2, 3, 4, 6, 5, 1], [5, 1, 3, 2, 6, 4], [5, 2, 4, 3, 1, 6]]]
6T12-5.1_3.3_3.3-a|[[[4, 1, 5, 3, 2, 6], [3, 1, 2, 6, 4, 5], [3, 6, 5, 2, 1, 4]]]
6T12-5.1_5.1_3.3-a|[[[2, 3, 4, 6, 5, 1], [2, 6, 1, 4, 3, 5], [2, 3, 1, 5, 6, 4]]]
6T12-5.1_5.1_3.3-b|[[[2, 3, 4, 6, 5, 1], [2, 4, 3, 6, 1, 5], [4, 5, 1, 3, 6, 2]]]
6T12-5.1_5.1_5.1-a|[[[2, 3, 4, 6, 5, 1], [6, 5, 3, 1, 4, 2], [1, 4, 6, 3, 2, 5]]]
6T13-4.2_3.2.1_2.2.2-a|[[[2, 5, 6, 1, 4, 3], [3, 6, 1, 2, 5, 4], [6, 3, 2, 5, 4, 1]]]
6T13-6_2.1.1.1.1_4.2-a|[[[6, 1, 4, 5, 2, 3], [3, 2, 1, 4, 5, 6], [2, 5, 6, 1, 4, 3]]]
6T13-6_4.2_3.2.1-a|[[[2, 5, 4, 1, 6, 3], [2, 5, 6, 1, 4, 3], [5, 4, 3, 6, 1, 2]], [[2, 3, 4, 5, 6, 1], [2, 5, 6, 1, 4, 3], [3, 4, 1, 6, 5, 2]]]
6T14-4.1.1_4.1.1_3.3-a|[[[4, 2, 6, 3, 5, 1], [2, 5, 3, 4, 6, 1], [5, 1, 4, 6, 2, 3]]]
6T14-5.1_4.1.1_2.2.2-a|[[[2, 3, 4, 6, 5, 1], [1, 6, 3, 2, 4, 5], [2, 1, 4, 3, 6, 5]]]
6T14-5.1_4.1.1_4.1.1-a|[[[3, 4, 2, 5, 1, 6], [1, 6, 3, 2, 4, 5], [6, 3, 1, 4, 5, 2]]]
6T14-6_4.1.1_2.2.1.1-a|[[[6, 4, 2, 1, 3, 5], [1, 3, 6, 2, 5, 4], [6, 2, 5, 4, 3, 1]]]
6T14-6_3.3_4.1.1-a|[[[2, 3, 6, 1, 4, 5], [5, 1, 4, 6, 2, 3], [3, 2, 5, 1, 4, 6]], [[5, 1, 6, 3, 4, 2], [5, 1, 4, 6, 2, 3], [5, 4, 3, 1, 2, 6]]]
6T14-6_4.1.1_5.1-a|[[[6, 4, 2, 1, 3, 5], [1, 4, 3, 5, 6, 2], [2, 3, 4, 6, 5, 1]], [[4, 1, 2, 5, 6, 3], [5, 2, 3, 6, 4, 1], [2, 3, 4, 6, 5, 1]]]
6T14-6_5.1_2.2.2-a|[[[6, 4, 2, 1, 3, 5], [3, 4, 2, 5, 1, 6], [2, 1, 4, 3, 6, 5]]]
6T14-6_6_2.2.1.1-a|[[[6, 4, 2, 1, 3, 5], [5, 6, 4, 2, 3, 1], [3, 5, 1, 4, 2, 6]]]
6T14-6_6_3.3-a|[[[6, 4, 2, 1, 3, 5], [3, 5, 4, 6, 1, 2], [3, 1, 2, 6, 4, 5]]]
6T14-6_6_5.1-a|[[[6, 4, 2, 1, 3, 5], [2, 3, 6, 1, 4, 5], [5, 2, 6, 1, 3, 4]]]
6T15-4.2_3.1.1.1_3.3-a|[[[3, 1, 4, 2, 6, 5], [1, 2, 4, 5, 3, 6], [2, 3, 1, 5, 6, 4]]]
6T15-5.1_3.3_3.1.1.1-a|[[[6, 4, 3, 5, 1, 2], [3, 5, 6, 2, 4, 1], [2, 3, 1, 4, 5, 6]]]
6T15-5.1_4.2_2.2.1.1-a|[[[6, 3, 5, 4, 1, 2], [6, 5, 4, 2, 3, 1], [2, 1, 4, 3, 5, 6]], [[3, 2, 5, 6, 4, 1], [2, 6, 5, 1, 3, 4], [2, 1, 4, 3, 5, 6]]]
6T15-5.1_4.2_3.1.1.1-a|[[[2, 4, 3, 5, 6, 1], [3, 6, 1, 2, 4, 5], [2, 3, 1, 4, 5, 6]], [[4, 2, 5, 3, 6, 1], [4, 6, 2, 1, 3, 5], [2, 3, 1, 4, 5, 6]]]
6T15-5.1_5.1_2.2.1.1-a|[[[2, 3, 5, 4, 6, 1], [1, 6, 4, 2, 3, 5], [2, 1, 4, 3, 5, 6]], [[3, 2, 4, 5, 6, 1], [2, 6, 3, 1, 4, 5], [2, 1, 4, 3, 5, 6]]]
6T15-5.1_5.1_3.1.1.1-a|[[[3, 2, 4, 5, 6, 1], [1, 6, 2, 3, 4, 5], [2, 3, 1, 4, 5, 6]]]
6T15-4.2_4.2_4.2-a|[[[2, 3, 4, 1, 6, 5], [6, 3, 1, 5, 4, 2], [5, 3, 6, 2, 1, 4]], [[2, 3, 4, 1, 6, 5], [6, 3, 5, 2, 4, 1], [5, 6, 4, 2, 1, 3]]]
6T15-5.1_4.2_3.3-a|[[[2, 3, 4, 5, 1, 6], [2, 5, 1, 6, 3, 4], [2, 3, 1, 5, 6, 4]], [[6, 3, 5, 4, 1, 2], [2, 5, 6, 1, 4, 3], [2, 3, 1, 5, 6, 4]]]
6T15-5.1_4.2_4.2-a|[[[5, 2, 6, 1, 3, 4], [2, 3, 4, 1, 6, 5], [3, 1, 6, 5, 4, 2]], [[5, 6, 3, 1, 2, 4], [2, 3, 4, 1, 6, 5], [3, 6, 2, 5, 4, 1]]]
6T15-5.1_4.2_4.2-b|[[[5, 6, 3, 2, 4, 1], [2, 3, 4, 1, 6, 5], [5, 3, 2, 6, 4, 1]], [[2, 3, 6, 1, 5, 4], [2, 3, 4, 1, 6, 5], [3, 4, 1, 5, 6, 2]]]
6T15-5.1_5.1_3.3-a|[[[6, 4, 2, 1, 5, 3], [6, 4, 3, 1, 2, 5], [2, 3, 1, 5, 6, 4]]]
6T15-5.1_5.1_4.2-a|[[[3, 1, 4, 5, 2, 6], [3, 2, 5, 1, 6, 4], [2, 3, 4, 1, 6, 5]], [[2, 4, 3, 5, 6, 1], [2, 6, 1, 3, 5, 4], [2, 3, 4, 1, 6, 5]], [[3, 2, 4, 5, 6, 1], [3, 6, 2, 1, 5, 4], [2, 3, 4, 1, 6, 5]], [[2, 4, 5, 3, 1, 6], [2, 5, 1, 4, 6, 3], [2, 3, 4, 1, 6, 5]]]
6T15-5.1_5.1_4.2-b|[[[2, 3, 5, 4, 6, 1], [4, 6, 1, 2, 5, 3], [2, 3, 4, 1, 6, 5]], [[5, 1, 3, 6, 4, 2], [5, 2, 6, 3, 4, 1], [2, 3, 4, 1, 6, 5]], [[4, 6, 3, 5, 2, 1], [1, 6, 5, 3, 2, 4], [2, 3, 4, 1, 6, 5]], [[3, 4, 2, 5, 1, 6], [2, 5, 3, 1, 6, 4], [2, 3, 4, 1, 6, 5]]]
6T15-5.1_5.1_5.1-a|[[[2, 3, 4, 5, 1, 6], [3, 1, 5, 4, 6, 2], [3, 2, 6, 1, 4, 5]], [[2, 3, 4, 5, 1, 6], [3, 2, 5, 6, 4, 1], [3, 6, 2, 1, 5, 4]]]
6T15-5.1_5.1_5.1-b|[[[2, 3, 4, 5, 1, 6], [3, 1, 4, 6, 5, 2], [5, 2, 6, 1, 3, 4]], [[2, 3, 4, 5, 1, 6], [1, 3, 5, 6, 4, 2], [3, 1, 6, 2, 5, 4]]]
6T15-5.1_5.1_5.1-c|[[[2, 3, 4, 5, 1, 6], [2, 5, 3, 6, 4, 1], [2, 6, 1, 3, 5, 4]], [[2, 3, 4, 5, 1, 6], [4, 1, 3, 5, 6, 2], [4, 2, 6, 3, 1, 5]]]
